日期,开盘价,最高价,最低价,收盘价,成交额,成交量
20150902,11.18,12,11.06,11.84,3.2738e+09,281574592
20150907,11.55,11.56,10.89,10.89,1.54406e+09,137611008
20150908,10.88,11.15,10.59,11,8.15241e+08,74729200
20150909,11.03,11.19,10.88,11.1,9.40582e+08,85107296
20150910,11,11.18,10.94,11.05,5.14578e+08,46520500
20150911,11.02,11.12,10.88,10.96,4.69297e+08,42645000
20150914,10.99,11,10.45,10.87,8.13927e+08,75645200
20150915,10.69,10.85,10.5,10.57,5.79042e+08,54283900
20150916,10.59,11.08,10.52,10.9,6.12767e+08,56924300
20150917,10.85,11.14,10.77,10.77,6.82338e+08,62079800
20150918,10.84,10.96,10.73,10.81,3.45063e+08,31827200
20150921,10.7,10.89,10.65,10.82,4.16851e+08,38611100
20150922,10.83,11.06,10.82,10.96,5.41007e+08,49295500
20150923,10.86,10.91,10.68,10.7,3.99583e+08,37115000
20150924,10.76,10.81,10.67,10.71,2.77274e+08,25863200
20150925,10.69,10.71,10.45,10.55,4.71537e+08,44642000
20150928,10.56,10.59,10.43,10.53,2.09186e+08,19908700
20150929,10.45,10.56,10.32,10.38,3.47612e+08,33360300
20150930,10.4,10.59,10.39,10.49,3.8323e+08,36465900
20151008,10.85,10.89,10.7,10.7,5.33806e+08,49407000
20151009,10.75,10.95,10.72,10.9,5.1631e+08,47461200
20151012,10.96,11.38,10.91,11.23,9.50602e+08,84966496
20151013,11.2,11.26,11.09,11.13,4.016e+08,35979800
20151014,11.04,11.15,10.94,10.98,4.62963e+08,41898000
20151015,10.95,11.17,10.94,11.17,5.39103e+08,48590000
20151016,11.21,11.3,11.16,11.23,6.40488e+08,57000100
20151019,11.27,11.35,11.15,11.26,8.1491e+08,72337104
20151020,11.2,11.38,11.19,11.32,8.07642e+08,71516304
20151021,11.29,11.75,11.18,11.22,1.52359e+09,133262896
20151022,11.25,11.4,11.18,11.33,9.2896e+08,82280496
20151023,11.39,11.53,11.34,11.47,1.07398e+09,93742496
20151026,11.6,11.81,11.44,11.52,1.26087e+09,108591696
20151027,11.5,11.64,11.34,11.48,6.64648e+08,58043600
20151028,11.46,11.48,11.25,11.27,6.1979e+08,54481100
20151029,11.3,11.36,11.25,11.27,3.5783e+08,31670300
20151030,11.3,11.42,11.27,11.36,6.0798e+08,53593000
20151102,11.27,11.32,11.1,11.14,5.44e+08,48443500
20151103,11.15,11.21,11.01,11.05,4.34818e+08,39126500
20151104,11.08,11.7,11.05,11.69,1.49326e+09,130724400
20151105,11.6,12.57,11.55,12.07,2.78027e+09,229218896
20151106,12.02,12.41,11.92,12.39,1.78133e+09,146319392
20151109,12.5,13.38,12.46,12.94,3.13764e+09,241388704
20151110,12.8,13.07,12.61,12.75,1.43871e+09,112502704
20151111,12.7,12.78,12.38,12.55,1.28017e+09,102173504
20151112,12.6,12.65,12.28,12.4,8.33753e+08,67113904
20151113,12.22,12.48,12.19,12.24,7.22252e+08,58755500
